package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
COMMON-LISP	PAIRLIS	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	ACOSH	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	FILE-WRITE-DATE	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	BUILT-IN-CLASS	no	no	no	no	no	no	yes	no	no	no	yes	yes
COMMON-LISP	*READTABLE*	no	no	no	yes	no	no	no	no	no	yes	no	no
COMMON-LISP	MACROEXPAND-1	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	TERPRI	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	LOOP-FINISH	no	yes	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	PSETF	no	yes	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	METHOD-COMBINATION	no	no	no	no	no	no	yes	no	no	no	yes	yes
COMMON-LISP	SHADOWING-IMPORT	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	SUBST	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	BIT-VECTOR	no	no	no	no	no	no	yes	no	no	no	yes	yes
COMMON-LISP	REVAPPEND	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	PRINC	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	UNEXPORT	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	COMPILER-MACRO	no	no	no	no	no	no	no	no	no	no	no	no
COMMON-LISP	SYMBOL-PLIST	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	PI	no	no	no	no	yes	no	no	no	no	yes	no	no
COMMON-LISP	SIMPLE-BIT-VECTOR	no	no	no	no	no	no	yes	no	no	no	yes	yes
COMMON-LISP	*READ-BASE*	no	no	no	yes	no	no	no	no	no	yes	no	no
COMMON-LISP	STANDARD-METHOD	no	no	no	no	no	no	yes	no	no	no	yes	yes
COMMON-LISP	FLOAT	yes	no	no	no	no	no	yes	no	yes	no	yes	yes
COMMON-LISP	LDIFF	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	REMOVE-IF-NOT	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	SET-PPRINT-DISPATCH	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	+	yes	no	no	yes	no	no	no	no	yes	yes	no	no
COMMON-LISP	SBIT	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	LOGCOUNT	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	COMPILATION-SPEED	no	no	no	no	no	no	no	no	no	no	no	no
COMMON-LISP	FIND	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	BIT-AND	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	SHORT-FLOAT-NEGATIVE-EPSILON	no	no	no	no	yes	no	no	no	no	yes	no	no
COMMON-LISP	*PRINT-READABLY*	no	no	no	yes	no	no	no	no	no	yes	no	no
COMMON-LISP	MAKE-CONDITION	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	LOGXOR	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	MOST-NEGATIVE-SINGLE-FLOAT	no	no	no	no	yes	no	no	no	no	yes	no	no
COMMON-LISP	LOAD	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	RESTART-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	TYPE-OF	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	KEYWORD	no	no	no	no	no	no	no	no	no	no	no	yes
COMMON-LISP	*PRINT-MISER-WIDTH*	no	no	no	yes	no	no	no	no	no	yes	no	no
COMMON-LISP	SIMPLE-STRING-P	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	PROGN	no	no	yes	no	no	no	no	no	yes	no	no	no
COMMON-LISP	*PRINT-RIGHT-MARGIN*	no	no	no	yes	no	no	no	no	no	yes	no	no
COMMON-LISP	TYPE-ERROR-EXPECTED-TYPE	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	ALLOCATE-INSTANCE	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	UNBOUND-SLOT-INSTANCE	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	STANDARD-CHAR	no	no	no	no	no	no	no	no	no	no	no	yes
COMMON-LISP	READ-CHAR	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	>	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	*PRINT-ARRAY*	no	no	no	yes	no	no	no	no	no	yes	no	no
COMMON-LISP	COMPLEMENT	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	SYMBOL	no	no	no	no	no	no	yes	no	no	no	yes	yes
COMMON-LISP	SIMPLE-WARNING	no	no	no	no	no	no	yes	yes	no	no	yes	yes
COMMON-LISP	GENTEMP	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	MULTIPLE-VALUE-PROG1	no	no	yes	no	no	no	no	no	yes	no	no	no
COMMON-LISP	SQRT	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	VARIABLE	no	no	no	no	no	no	no	no	no	no	no	no
COMMON-LISP	GENSYM	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	SYNONYM-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
COMMON-LISP	VECTOR-PUSH-EXTEND	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	INTERNAL-TIME-UNITS-PER-SECOND	no	no	no	no	yes	no	no	no	no	yes	no	no
COMMON-LISP	BIGNUM	no	no	no	no	no	no	yes	no	no	no	yes	yes
COMMON-LISP	STRING-RIGHT-TRIM	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	PPRINT-POP	no	yes	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	TRUENAME	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	METHOD-QUALIFIERS	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	CHECK-TYPE	no	yes	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	NRECONC	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	UNBOUND-SLOT	no	no	no	no	no	no	yes	yes	no	no	yes	yes
COMMON-LISP	MERGE	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	*GENSYM-COUNTER*	no	no	no	yes	no	no	no	no	no	yes	no	no
COMMON-LISP	BROADCAST-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
COMMON-LISP	RPLACA	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	READ-DELIMITED-LIST	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	COUNT-IF	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	ASSOC	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	STANDARD	no	no	no	no	no	no	no	no	no	no	no	no
COMMON-LISP	COND	no	yes	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	PATHNAME-DIRECTORY	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	STANDARD-GENERIC-FUNCTION	no	no	no	no	no	no	yes	no	no	no	yes	yes
COMMON-LISP	BREAK	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	MAKE-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	SIXTH	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	KEYWORDP	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	>=	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	DEFSETF	no	yes	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	WITH-SLOTS	no	yes	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	SIMPLE-VECTOR-P	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	SUBLIS	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	SIN	yes	no	no	no	no	no	no	no	yes	no	no	no
COMMON-LISP	*PRINT-PRETTY*	no	no	no	yes	no	no	no	no	no	yes	no	no
COMMON-LISP	BOOLE-XOR	no	no	no	no	yes	no	no	no	no	yes	no	no
COMMON-LISP	LEAST-POSITIVE-DOUBLE-FLOAT	no	no	no	no	yes	no	no	no	no	yes	no	no
COMMON-LISP	&WHOLE	no	no	no	no	no	no	no	no	no	no	no	no
