package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
ASDF/INTERFACE	BAD-SYSTEM-NAME	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	COMPUTE-SOURCE-REGISTRY	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	DEFSYSTEM	no	yes	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-SOURCE-CONTROL	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	ERROR-COMPONENT	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-DEPENDS-ON	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	CIRCULAR-DEPENDENCY	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	OUTPUT-FILE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	VERSION	no	no	no	no	no	no	no	no	no	no	no	no
ASDF/INTERFACE	LOCATE-SYSTEM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-FIND-PATH	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-ENCODING	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	INITIALIZE-OUTPUT-TRANSLATIONS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	FILE-COMPONENT	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	RUN-SHELL-COMMAND	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	MONOLITHIC-LOAD-COMPILED-CONCATENATED-SOURCE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	ALREADY-LOADED-SYSTEMS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	MAKE-PLAN	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSDEF-IMMUTABLE-SYSTEM-SEARCH	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	REGISTERED-SYSTEMS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	UPWARD-OPERATION	yes	no	no	no	no	no	yes	no	yes	no	yes	yes
ASDF/INTERFACE	DOWNWARD-OPERATION	yes	no	no	no	no	no	yes	no	yes	no	yes	yes
ASDF/INTERFACE	C-SOURCE-FILE	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	*ENCODING-DETECTION-HOOK*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	LOAD-SYSTEMS*	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-MAILTO	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	DEFINE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	HTML-FILE	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	VERSION-SATISFIES	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-OUT-OF-DATE	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	SYSTEM-DESCRIPTION	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-DEFSYSTEM-DEPENDS-ON	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	LOAD-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	OPERATION-ON-FAILURE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-DEPENDS-ON	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	IMPLEMENTATION-IDENTIFIER	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	MAKE-OPERATION	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	MAKE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	ERROR-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	CLEAR-CONFIGURATION	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-RELATIVE-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-OUTPUT-TRANSLATIONS-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	REGISTER-PRELOADED-SYSTEM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	PACKAGE-INFERRED-SYSTEM	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	MONOLITHIC-DLL-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	MISSING-DEPENDENCY	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	SIDEWAY-OPERATION	yes	no	no	no	no	no	yes	no	yes	no	yes	yes
ASDF/INTERFACE	MONOLITHIC-COMPILE-CONCATENATED-SOURCE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	USER-SOURCE-REGISTRY	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	REMOVE-ENTRY-FROM-REGISTRY	no	no	no	no	no	no	no	no	no	no	no	no
ASDF/INTERFACE	BUNDLE-SYSTEM	no	no	no	no	no	no	no	no	no	no	no	no
ASDF/INTERFACE	MONOLITHIC-LOAD-BUNDLE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	FIND-SYSTEM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SOURCE-FILE-TYPE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	OPERATION	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	COERCE-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	NEEDED-IN-IMAGE-P	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	LOAD-SOURCE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	*ENCODING-EXTERNAL-FORMAT-HOOK*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	COMPONENT-LOAD-DEPENDENCIES	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	MONOLITHIC-BUNDLE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	MONOLITHIC-COMPILE-BUNDLE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	COMPONENT-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	PACKAGE-INFERRED-SYSTEM-MISSING-PACKAGE-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	NON-TOPLEVEL-SYSTEM	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	SYSTEM-WEAKLY-DEPENDS-ON	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	IMPLEMENTATION-TYPE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	*DEFAULT-SOURCE-REGISTRIES*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	LOAD-COMPILED-CONCATENATED-SOURCE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	BASIC-COMPILE-BUNDLE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	MODULE	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	COMPILE-WARNED-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	*VERBOSE-OUT*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	PROGRAM-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	ENABLE-ASDF-BINARY-LOCATIONS-COMPATIBILITY	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-LOADED-P	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	EXPLAIN	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	RETRY	no	no	no	no	no	no	no	no	no	no	no	no
ASDF/INTERFACE	SYSTEM-LONG-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	OPERATE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	FIND-OPERATION	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-PARENT	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-SOURCE-REGISTRY	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	CLEAR-SYSTEM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	CONCATENATE-SOURCE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	MONOLITHIC-LIB-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	*USER-CACHE*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	MONOLITHIC-CONCATENATE-SOURCE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	PERFORM-WITH-RESTARTS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	PROGRAM-SYSTEM	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	ENSURE-SOURCE-REGISTRY	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	DOC-FILE	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	SYSTEM-DEFINITION-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-CHILDREN	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	MISSING-COMPONENT	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	COMPILE-FILE-PATHNAME*	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	ACTION-DESCRIPTION	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	LOAD-ASD	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPILE-CONDITION	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	DLL-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	NON-SYSTEM-SYSTEM	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	TRY-RECOMPILING	no	no	no	no	no	no	no	no	no	no	no	no
ASDF/INTERFACE	PERFORM-PLAN	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	PACKAGE-SYSTEM	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	LOAD-BUNDLE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	SEQUENTIAL-PLAN	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	COMPONENT	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	OPERATION-DEFINITION-WARNING	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	REGISTER-SYSTEM-PACKAGES	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	PREPARE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	OPERATION-MONOLITHIC-P	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-CHILDREN-BY-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	MAP-SYSTEMS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-EXTERNAL-FORMAT	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	TEST-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	CLEAR-CONFIGURATION-AND-RETRY	no	no	no	no	no	no	no	no	no	no	no	no
ASDF/INTERFACE	*COMPILE-FILE-WARNINGS-BEHAVIOUR*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	COMPILE-FILE*	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	PRIMARY-SYSTEM-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-LICENCE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	CL-SOURCE-FILE.CL	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	ASDF-MESSAGE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	*DEFAULT-ENCODING*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	LOAD-SYSTEM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	OPERATION-DEFINITION-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	*RESOLVE-SYMLINKS*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	COMPILED-FILE	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	TEST-SYSTEM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	DELIVER-ASD-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	BUNDLE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	*COMPILE-FILE-FAILURE-BEHAVIOUR*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	INITIALIZE-SOURCE-REGISTRY	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	*SOURCE-REGISTRY-PARAMETER*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	MONOLITHIC-DELIVER-ASD-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	UPGRADE-ASDF	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-RELATIVE-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-AUTHOR	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	*OUTPUT-TRANSLATIONS-PARAMETER*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	SOURCE-FILE	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	COMPILE-FAILED-WARNING	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	DISABLE-DEFERRED-WARNINGS-CHECK	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	MISSING-DEPENDENCY-OF-VERSION	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	SYSTEM-OUTPUT-TRANSLATIONS-DIRECTORY-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	HOSTNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	ACCEPT	no	no	no	no	no	no	no	no	no	no	no	no
ASDF/INTERFACE	SYSTEM-LONG-DESCRIPTION	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	MISSING-COMPONENT-OF-VERSION	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	SYSTEM-SOURCE-REGISTRY-DIRECTORY	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	REGISTERED-SYSTEM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	DUPLICATE-NAMES	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	OPERATION-ON-WARNINGS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-HOMEPAGE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	PROCESS-SOURCE-REGISTRY	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSDEF-PRELOADED-SYSTEM-SEARCH	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	*UTF-8-EXTERNAL-FORMAT*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	COMPILE-FAILED	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	REGISTER-IMMUTABLE-SYSTEM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPILE-WARNED-WARNING	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	BUILD-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	SYSTEM-SOURCE-FILE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	OPERATION-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	COMPILE-CONCATENATED-SOURCE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	USER-OUTPUT-TRANSLATIONS-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	PARENT-COMPONENT	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	PERFORM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPILE-FAILED-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	*WARNINGS-FILE-TYPE*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	CHILD-COMPONENT	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	COMPILE-WARNED	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	COMPONENT-VERSION	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	CL-SOURCE-FILE	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	APPLY-OUTPUT-TRANSLATIONS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	RESOLVE-LOCATION	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-MAINTAINER	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	*SYSTEM-DEFINITION-SEARCH-FUNCTIONS*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	CLEAR-SOURCE-REGISTRY	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	LIB-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	INPUT-FILES	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	PREPARE-SOURCE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	REQUIRED-COMPONENTS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	LOAD-CONCATENATED-SOURCE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	TRAVERSE	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPONENT-SYSTEM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	ERROR-OPERATION	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	SYSTEM-SOURCE-DIRECTORY	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	DISABLE-OUTPUT-TRANSLATIONS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	JAVA-SOURCE-FILE	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	COMPILE-BUNDLE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	OUTPUT-FILES	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	CLEAR-OUTPUT-TRANSLATIONS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	STATIC-FILE	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	ASDF-VERSION	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPILE-SYSTEM	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPILE-FILE-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	USER-OUTPUT-TRANSLATIONS-DIRECTORY-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	COMPILE-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
ASDF/INTERFACE	LOAD-SYSTEMS	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	OPERATION-DONE-P	yes	no	no	no	no	no	no	no	yes	no	no	no
ASDF/INTERFACE	*CENTRAL-REGISTRY*	no	no	no	yes	no	no	no	no	no	yes	no	no
ASDF/INTERFACE	COMPILE-OP	no	no	no	no	no	no	yes	no	no	no	yes	yes
ASDF/INTERFACE	SELFWARD-OPERATION	yes	no	no	no	no	no	yes	no	yes	no	yes	yes
ASDF/INTERFACE	SEARCH-FOR-SYSTEM-DEFINITION	yes	no	no	no	no	no	no	no	yes	no	no	no
