package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-BSD-SOCKETS	OUT-OF-MEMORY-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	SOCKET-TYPE-NOT-SUPPORTED-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	SOCKOPT-PASS-CREDENTIALS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKET-ERROR	yes	no	no	no	no	no	yes	yes	yes	no	yes	yes
SB-BSD-SOCKETS	OPERATION-NOT-PERMITTED-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	SOCKET-FILE-DESCRIPTOR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKET-CLOSE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKOPT-DEBUG	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	NON-BLOCKING-MODE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	NO-BUFFERS-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	SOCKET-TYPE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKOPT-SEND-LOW-WATER	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKOPT-TCP-KEEPCNT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKOPT-RECEIVE-BUFFER	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKOPT-KEEP-ALIVE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKET-PROTOCOL	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	NOT-CONNECTED-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	SOCKOPT-BSD-COMPATIBLE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	LOCAL-ABSTRACT-SOCKET	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-BSD-SOCKETS	INTERRUPTED-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	MAKE-INET-ADDRESS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	HOST-ENT-ADDRESSES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	GET-HOST-BY-ADDRESS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	BAD-FILE-DESCRIPTOR-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	SOCKET-MAKE-STREAM	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	NO-RECOVERY-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	NETWORK-UNREACHABLE-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	INET-SOCKET	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-BSD-SOCKETS	MAKE-INET-SOCKET	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	NETDB-SUCCESS-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	SOCKET	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-BSD-SOCKETS	SOCKOPT-BIND-TO-DEVICE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKET-SHUTDOWN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	ADDRESS-FAMILY-NOT-SUPPORTED	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	SOCKOPT-TCP-USER-TIMEOUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKET-ACCEPT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKOPT-BROADCAST	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKET-LISTEN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKET-PEERNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	SOCKOPT-OOB-INLINE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	HOST-NOT-FOUND-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	SOCKET-RECEIVE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-BSD-SOCKETS	INVALID-ARGUMENT-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-BSD-SOCKETS	OPERATION-NOT-SUPPORTED-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
