package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-CAPSTONE	CS-ARCH-ARM64	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ARCH-M68K	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MODE-M68K-030	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MODE-M680X-6801	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ERR-CSH	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MODE-M68K-020	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ERR-X86-ATT	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ERR-MODE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MODE-M680X-HCS08	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ARCH-XCORE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-GRP-RET	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MODE-MIPS32	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ERR-X86-MASM	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-API-MINOR	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-NEXT-VERSION	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OPT-DETAIL	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MODE-MIPS2	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ARCH-TMS320C64X	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-GRP-BRANCH-RELATIVE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MODE-16	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-GRP-IRET	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ARCH-ALL	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OPT-SYNTAX-NOREGNAME	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OPT-MNEMONIC	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ERR-DETAIL	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	INSN-ID	no	no	no	no	no	no	no	no	no	no	no	no
SB-CAPSTONE	CS-ERR-OPTION	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MODE-THUMB	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ARCH-MIPS	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OPT-SYNTAX-MASM	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OP-FP	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MODE-M680X-6309	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	INSN-SIZE	no	no	no	no	no	no	no	no	no	no	no	no
SB-CAPSTONE	CS-MODE-MIPS3	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OPT-UNSIGNED	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ERR-X86-INTEL	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OPT-INVALID	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OP-IMM	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OP-INVALID	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OPT-MEM	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MODE-M680X-6301	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ARCH-ARM	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ARCH-SYSZ	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-ERR-HANDLE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-MNEMONIC-SIZE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	INSN-OPERANDS	no	no	no	no	no	no	no	no	no	no	no	no
SB-CAPSTONE	CS-ARCH-MAX	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OPT-SYNTAX-INTEL	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OP-MEM	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-OPT-MODE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-CAPSTONE	CS-CLOSE	yes	no	no	no	no	no	no	no	yes	no	no	no
