package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-COVER	SAVE-COVERAGE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	CLEAR-COVERAGE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	ENABLE-COVERAGE-LOGGING	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	REPORT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	MERGE-COVERAGE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	GET-COVERAGE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	RESET-COVERAGE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	STORE-COVERAGE-DATA	no	no	no	no	no	no	no	no	no	no	no	no
SB-COVER	RESTORE-COVERAGE-FROM-FILE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	SAVE-COVERAGE-IN-FILE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	LCOV-REPORT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	MERGE-COVERAGE-FROM-FILE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-COVER	RESTORE-COVERAGE	yes	no	no	no	no	no	no	no	yes	no	no	no
