package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-GMP	MPZ-FDIV	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-FIB2	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPQ-DIV	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	*GMP-DISABLED*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-GMP	MPZ-POW	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-TDIV	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-GCD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-MUL-2EXP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-MFAC	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	*GMP-VERSION*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-GMP	MPZ-CDIV	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	RANDOM-BITCOUNT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-PRIMORIAL	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	UNINSTALL-GMP-FUNS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-NEXTPRIME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-REMOVE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-POWM	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MAKE-GMP-RSTATE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	UNLOAD-GMP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-MOD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-SQRT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-LCM	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-BIN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-SUB	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPQ-ADD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-MUL	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-FDIV-2EXP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	INSTALL-GMP-FUNS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-ADD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPQ-SUB	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	LOAD-GMP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPQ-MUL	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-PROBABLY-PRIME-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-FAC	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	RANDOM-INT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-DIVISIBLE-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	RAND-SEED	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MPZ-2FAC	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GMP	MAKE-GMP-RSTATE-LC	yes	no	no	no	no	no	no	no	yes	no	no	no
