package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-INTROSPECT	WHO-SPECIALIZES-GENERALLY	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	FUNCTION-ARGLIST	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	VALID-FUNCTION-NAME-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	FIND-DEFINITION-SOURCE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	WHO-BINDS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	WHO-REFERENCES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	DEFINITION-SOURCE-CHARACTER-OFFSET	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	DEFTYPE-LAMBDA-LIST	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	DEFINITION-SOURCE	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-INTROSPECT	DEFINITION-SOURCE-FORM-PATH	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	FIND-DEFINITION-SOURCES-BY-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	FIND-FUNCTION-CALLERS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	FIND-FUNCTION-CALLEES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	DEFINITION-SOURCE-FORM-NUMBER	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	DEFINITION-SOURCE-FILE-WRITE-DATE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	ALLOCATION-INFORMATION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	WHO-MACROEXPANDS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	MAP-ROOT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	METHOD-COMBINATION-LAMBDA-LIST	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	WHO-CALLS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	WHO-SPECIALIZES-DIRECTLY	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	FUNCTION-LAMBDA-LIST	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	WHO-SETS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	DEFINITION-SOURCE-PLIST	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	DEFINITION-SOURCE-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-INTROSPECT	FUNCTION-TYPE	yes	no	no	no	no	no	no	no	yes	no	no	no
