package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-MPFR	SEC	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	EINT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	SQRT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	+MPFR-PRECISION+	no	no	no	no	no	no	no	no	no	no	no	no
SB-MPFR	AI	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	ABS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	URANDOM	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	INTEGERP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	COMPARE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	ARITHMETIC-GEOMETRIC-MEAN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	SET-INEX-FLAG	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	CSCH	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	TANH	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	CLEAR-UNDERFLOW	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	Y1	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	COT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	ROUNDED-INT-FLOOR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	POWER	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	SUB	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	ATAN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	CEILING	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	COERCE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	ROUND	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	*MPFR-VERSION*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-MPFR	ADD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	<	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	WITH-PRECISION	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	COTH	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	INFINITYP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	CLEAR-OVERFLOW	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	FRACTIONAL	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	J0	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	DIV-BY-ZERO-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	OVERFLOWP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	EXP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	/=	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	COMPARE-ABS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	>=	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	CUBIC-ROOT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	Y0	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	ASINH	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	SET-NAN-FLAG	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	NUMBERP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	*MPFR-BASE*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-MPFR	SET-PRECISION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	HYPOT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	ASIN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MPFR	UNORDEREDP	yes	no	no	no	no	no	no	no	yes	no	no	no
