package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-POSIX	LSTAT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	FLOCK-START	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	PARENB	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	CS8	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	VQUIT	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	S-IFIFO	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	ENODEV	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	TCSADRAIN	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	S-ISDIR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	EUNATCH	no	no	no	no	no	no	no	no	no	no	no	no
SB-POSIX	EMEDIUMTYPE	no	no	no	no	no	no	no	no	no	no	no	no
SB-POSIX	WNOHANG	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	OFILL	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	EPROTOTYPE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	PIPE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	F-GETFL	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	FLOCK-TYPE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	RMDIR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	CR3	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	EINPROGRESS	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	FCNTL	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	TAB0	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	SIGTTIN	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	SETSID	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	EPIPE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	ERANGE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	ECHO	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	EL3HLT	no	no	no	no	no	no	no	no	no	no	no	no
SB-POSIX	WRITE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	INPCK	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	OPEN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	LOG-SYSLOG	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	ESTRPIPE	no	no	no	no	no	no	no	no	no	no	no	no
SB-POSIX	SIGURG	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	SIGRTMIN	no	no	no	no	no	no	no	no	no	no	no	no
SB-POSIX	SEEK-SET	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	TCGETATTR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	ENOSPC	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	S-IWOTH	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	LOG-USER	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	EPFNOSUPPORT	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	ENOMSG	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	FILE-DESCRIPTOR	yes	no	no	no	no	no	no	no	yes	no	no	yes
SB-POSIX	ENOENT	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	FLOCK	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-POSIX	MKTEMP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	ENOTEMPTY	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	SYNC	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	GETUID	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	ENOSR	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	B2400	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	BS0	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	ELNRNG	no	no	no	no	no	no	no	no	no	no	no	no
SB-POSIX	F-GETFD	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	SETEUID	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	LOG-UUCP	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	O-DIRECTORY	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	MUNMAP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	MKDTEMP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	EROFS	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	O-RDONLY	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	VEOF	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	ETIMEDOUT	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	ENOBUFS	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	LOG-NOTICE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	PAUSE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	EISCONN	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	S-IXUSR	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	LOG-PID	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	EFAULT	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	STAT-INO	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	FILENAME	yes	no	no	no	no	no	no	no	yes	no	no	yes
SB-POSIX	SEEK-END	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	SIGXFSZ	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	MS-ASYNC	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	ETIME	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	STAT-DEV	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	LOG-LOCAL1	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	O-DSYNC	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	EEXIST	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	ABORT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	SIGPIPE	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	WIFSTOPPED	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	S-IWGRP	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	SYSCALL-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-POSIX	ENOTDIR	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-POSIX	EADV	no	no	no	no	no	no	no	no	no	no	no	no
SB-POSIX	CS6	no	no	no	no	yes	no	no	no	no	yes	no	no
