package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-SIMPLE-STREAMS	DEVICE-FILE-POSITION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	DEF-STREAM-CLASS	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	STREAMP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	CHARPOS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	COMPOSING-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-SIMPLE-STREAMS	STREAM-INPUT-HANDLE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	DEVICE-WRITE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	WRITE-CHAR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	WRITE-LINE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	READ-LINE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	FUNCALL-STM-HANDLER-2	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	*TERMINAL-IO*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SIMPLE-STREAMS	WRITE-BYTE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	READ-CHAR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	DEVICE-FILE-LENGTH	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	DEVICE-EXTEND	no	no	no	no	no	no	no	no	no	no	no	no
SB-SIMPLE-STREAMS	CLEAR-INPUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	*ERROR-OUTPUT*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SIMPLE-STREAMS	WITH-STREAM-CLASS	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	DEVICE-CLEAR-INPUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	CLOSE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	WRITE-OCTETS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	NULL-SIMPLE-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-SIMPLE-STREAMS	OUTPUT-STREAM-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	FILE-LENGTH	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	SOCKET-BASE-SIMPLE-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-SIMPLE-STREAMS	TERPRI	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	FINISH-OUTPUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	FUNCALL-STM-HANDLER	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	LINE-LENGTH	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	STREAM-OUTPUT-HANDLE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	READ-CHAR-NO-HANG	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	*STANDARD-OUTPUT*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SIMPLE-STREAMS	DEVICE-CLEAR-OUTPUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	LIMITED-STRING-OUTPUT-SIMPLE-STREAM	no	no	no	no	no	no	no	no	no	no	no	no
SB-SIMPLE-STREAMS	STRING-OUTPUT-SIMPLE-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-SIMPLE-STREAMS	SM	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	LISTEN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	CLEAR-OUTPUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SIMPLE-STREAMS	STREAM-EXTERNAL-FORMAT	yes	no	no	no	no	no	no	no	yes	no	no	no
