name	package	status	external-count	reason
sb-posix	SB-POSIX	loaded	547	-
sb-bsd-sockets	SB-BSD-SOCKETS	loaded	79	-
sb-concurrency	SB-CONCURRENCY	loaded	37	-
sb-queue	SB-QUEUE	loaded	9	-
sb-md5	SB-MD5	loaded	16	-
sb-rotate-byte	SB-ROTATE-BYTE	loaded	1	-
sb-cltl2	SB-CLTL2	loaded	9	-
sb-gmp	SB-GMP	loaded	39	-
sb-mpfr	SB-MPFR	loaded	130	-
sb-simd	SB-SIMD	failed	0	Can't LOAD a directory: #P"/Users/take/.nix-profile/bin/../lib/sbcl/contrib/sb-simd".
sb-capstone	SB-CAPSTONE	loaded	121	-
sb-aclrepl	SB-ACLREPL	loaded	7	-
sb-executable	SB-EXECUTABLE	loaded	2	-
sb-rt	SB-RT	loaded	10	-
sb-grovel	SB-GROVEL	loaded	1	-
sb-perf	SB-PERF	failed	0	Error while trying to load definition for system sb-perf from pathname /nix/store/d7qr1a1dif0r1aifq87pjnyhr9xlsz4k-sbcl-2.6.0/lib/sbcl/contrib/sb-perf/sb-perf.asd:     Can't build contribs with ASDF
sb-sprof	SB-SPROF	loaded	16	-
sb-cover	SB-COVER	loaded	13	-
sb-introspect	SB-INTROSPECT	loaded	26	-
sb-simple-streams	SB-SIMPLE-STREAMS	loaded	106	-
asdf	ASDF	loaded	230	-
uiop	UIOP	loaded	427	-
