package	symbol	libraries	example-file	exported-in-sbcl-2.6.0
SB-ALIEN-INTERNALS	ALIEN-TYPE-ALIGNMENT	cffi	src/cffi-sbcl.lisp	yes
SB-ALIEN-INTERNALS	ALIEN-TYPE-BITS	cffi	src/cffi-sbcl.lisp	yes
SB-ALIEN-INTERNALS	ALIEN-VALUE	usocket	tests/udp-one-shot.lisp	yes
SB-ALIEN-INTERNALS	PARSE-ALIEN-TYPE	cffi	src/cffi-sbcl.lisp	yes
SB-C	*ABORTED-COMPILATION-UNIT-COUNT*	uiop	uiop.lisp	yes
SB-C	*COMPILER-ERROR-COUNT*	uiop	uiop.lisp	yes
SB-C	*COMPILER-NOTE-COUNT*	uiop	uiop.lisp	yes
SB-C	*COMPILER-STYLE-WARNING-COUNT*	uiop	uiop.lisp	yes
SB-C	*COMPILER-WARNING-COUNT*	uiop	uiop.lisp	yes
SB-C	*IN-COMPILATION-UNIT*	uiop	uiop.lisp	yes
SB-C	*POLICY*	uiop	uiop.lisp	yes
SB-C	*UNDEFINED-WARNINGS*	uiop	uiop.lisp	yes
SB-C	COMPILER-ERROR-CONTEXT-CONTEXT	uiop	uiop.lisp	yes
SB-C	COMPILER-ERROR-CONTEXT-ENCLOSING-SOURCE	uiop	uiop.lisp	yes
SB-C	COMPILER-ERROR-CONTEXT-FILE-NAME	uiop	uiop.lisp	yes
SB-C	COMPILER-ERROR-CONTEXT-FILE-POSITION	uiop	uiop.lisp	yes
SB-C	COMPILER-ERROR-CONTEXT-ORIGINAL-SOURCE	uiop	uiop.lisp	yes
SB-C	COMPILER-ERROR-CONTEXT-ORIGINAL-SOURCE-PATH	uiop	uiop.lisp	yes
SB-C	COMPILER-ERROR-CONTEXT-SOURCE	uiop	uiop.lisp	yes
SB-C	MAKE-COMPILER-ERROR-CONTEXT	uiop	uiop.lisp	yes
SB-C	MAKE-UNDEFINED-WARNING	uiop	uiop.lisp	yes
SB-C	POLICY-QUALITY	uiop	uiop.lisp	yes
SB-C	SIMPLE-COMPILER-NOTE	uiop	uiop.lisp	no
SB-C	UNDEFINED-WARNING-COUNT	uiop	uiop.lisp	yes
SB-C	UNDEFINED-WARNING-KIND	uiop	uiop.lisp	yes
SB-C	UNDEFINED-WARNING-NAME	uiop	uiop.lisp	yes
SB-C	UNDEFINED-WARNING-WARNINGS	uiop	uiop.lisp	yes
SB-IMPL	FD-STREAM-TIMEOUT	usocket	option.lisp	yes
SB-IMPL	PROCESS-EXIT-CODE	cffi	uffi-compat/uffi-compat.lisp	no
SB-INT	BROKEN-PIPE	usocket	backend/sbcl.lisp	yes
SB-INT	CONSTANT-FORM-VALUE	cffi	src/sys-utils.lisp	yes
SB-INT	INDEX	cffi	src/cffi-sbcl.lisp	yes
SB-INT	PACKAGE-AT-VARIANCE	uiop	uiop.lisp	yes
SB-INT	SIMPLE-READER-ERROR	alexandria	alexandria-1/conditions.lisp	yes
SB-INT	SIMPLE-STYLE-WARNING	uiop	uiop.lisp	yes
SB-KERNEL	%SIGNAL	usocket	tests/udp-one-shot.lisp	yes
SB-KERNEL	CLASSOID-CELL	usocket	tests/udp-one-shot.lisp	yes
SB-KERNEL	FORMAT-CONTROL	uiop	uiop.lisp	yes
SB-KERNEL	LEXICAL-ENVIRONMENT-TOO-COMPLEX	uiop	uiop.lisp	yes
SB-KERNEL	REDEFINITION-WITH-DEFGENERIC	uiop	uiop.lisp	yes
SB-KERNEL	REDEFINITION-WITH-DEFMACRO	uiop	uiop.lisp	yes
SB-KERNEL	REDEFINITION-WITH-DEFMETHOD	uiop	uiop.lisp	yes
SB-KERNEL	REDEFINITION-WITH-DEFUN	uiop	uiop.lisp	yes
SB-KERNEL	SIMPLE-UNBOXED-ARRAY	cffi	src/cffi-sbcl.lisp	yes
SB-KERNEL	UNDEFINED-ALIEN-STYLE-WARNING	uiop	uiop.lisp	yes
SB-KERNEL	UNINTERESTING-REDEFINITION	uiop	uiop.lisp	yes
SB-KERNEL	WITH-ARRAY-DATA	babel	src/strings.lisp	yes
SB-PCL	CONDITION-CLASS	alexandria	doc/docstrings.lisp	yes
SB-PCL	PRECOMPILE-RANDOM-CODE-SEGMENTS	uiop	uiop.lisp	no
SB-UNIX	EINTR	usocket	backend/sbcl.lisp	yes
SB-UNIX	FD-ISSET	usocket	backend/sbcl.lisp	yes
SB-UNIX	FD-SET	usocket	backend/sbcl.lisp	yes
SB-UNIX	FD-ZERO	usocket	backend/sbcl.lisp	yes
SB-UNIX	POSIX-GETCWD	uiop	uiop.lisp	yes
SB-UNIX	UNIX-FAST-SELECT	usocket	backend/sbcl.lisp	yes
SB-UNIX	UNIX-GETHOSTNAME	usocket	backend/sbcl.lisp	yes
SB-UNIX	UNIX-STAT	uiop	uiop.lisp	yes
SB-VM	N-MACHINE-WORD-BITS	usocket	backend/sbcl.lisp	yes
