package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-ALIEN	ADDR	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	*	yes	no	no	yes	no	no	no	no	yes	yes	no	yes
SB-ALIEN	BOOLEAN	no	no	no	no	no	no	no	no	no	no	no	yes
SB-ALIEN	LONG	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	STRUCT	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	MAKE-ALIEN	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	UNSIGNED-LONG-LONG	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	SET-ERRNO	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	INT	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	FUNCTION	no	no	yes	no	no	no	yes	no	yes	no	yes	yes
SB-ALIEN	ALIEN-SAP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	ALIEN	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	VALUES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	UNSIGNED-INT	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	SLOT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	SIZE-T	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	WITH-ALIEN-CALLABLE	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	SINGLE-FLOAT	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-ALIEN	UNSIGNED-CHAR	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	VOID	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	SAP-ALIEN	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	DEREF	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	UTF8-STRING	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	CHAR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	EXTERN-ALIEN	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	ALIEN-CALLABLE-FUNCTION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	LOAD-SHARED-OBJECT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	SHORT	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	UNSIGNED-LONG	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	LOAD-1-FOREIGN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	NULL-ALIEN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	DOUBLE-FLOAT	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-ALIEN	ARRAY	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-ALIEN	ALIEN-FUNCALL	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	ALIEN-SIZE	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	UNLOAD-SHARED-OBJECT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	LONG-FLOAT	no	no	no	no	no	no	no	no	no	no	no	yes
SB-ALIEN	UNION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	DOUBLE	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	SIGNED	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	LOAD-FOREIGN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	DEFINE-ALIEN-VARIABLE	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	INTEGER	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-ALIEN	LONG-LONG	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	DEFINE-ALIEN-ROUTINE	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	ENUM	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	UNDEFINED-ALIEN-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-ALIEN	FREE-ALIEN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	MAKE-ALIEN-STRING	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	DEFINE-ALIEN-CALLABLE	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	WITH-ALIEN	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-ALIEN	UNSIGNED	no	no	no	no	no	no	no	no	no	no	no	no
SB-ALIEN	UNSIGNED-SHORT	no	no	no	no	no	no	no	no	no	no	no	no
