package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-DEBUG	PRINT-BACKTRACE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-DEBUG	VAR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-DEBUG	INTERNAL-DEBUG	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-DEBUG	LIST-BACKTRACE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-DEBUG	*IN-THE-DEBUGGER*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	BACKTRACE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-DEBUG	*BACKTRACE-FRAME-COUNT*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	*TRACE-INDENTATION-STEP*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	*FLUSH-DEBUG-ERRORS*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	*STACK-TOP-HINT*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	*TRACE-REPORT-DEFAULT*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	*MAX-TRACE-INDENTATION*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	BACKTRACE-AS-LIST	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-DEBUG	*DEBUG-PRINT-VARIABLE-ALIST*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	UNWIND-TO-FRAME-AND-CALL	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-DEBUG	MAP-BACKTRACE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-DEBUG	*DEBUG-HELP-STRING*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	FRAME-HAS-DEBUG-TAG-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-DEBUG	*DEBUG-CONDITION*	no	no	no	no	no	no	no	no	no	no	no	no
SB-DEBUG	*DEBUG-READTABLE*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	*METHOD-FRAME-STYLE*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	*DEBUG-BEGINNER-HELP-P*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	*TRACE-ENCAPSULATE-DEFAULT*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-DEBUG	ARG	yes	no	no	no	no	no	no	no	yes	no	no	no
