package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-EXT	FOLD-IDENTICAL-CODE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	NAME-CONFLICT-FUNCTION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	LONG-FLOAT-POSITIVE-INFINITY	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-EXT	*GC-REAL-TIME*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-EXT	PROCESS-PID	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	ATOMIC-DECF	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-EXT	UNSCHEDULE-TIMER	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	READTABLE-NORMALIZATION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	TIMER	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-EXT	*SAVE-HOOKS*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-EXT	FILE-EXISTS	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-EXT	GENERATION-BYTES-ALLOCATED	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	EXIT	yes	no	no	no	no	no	yes	no	yes	no	yes	yes
SB-EXT	STEP-CONTINUE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	*EFFICIENCY-NOTE-COST-THRESHOLD*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-EXT	TRULY-THE	no	yes	yes	no	no	no	no	no	yes	no	no	no
SB-EXT	*EVALUATOR-MODE*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-EXT	CAS	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-EXT	DEPRECATION-ERROR	yes	no	no	no	no	no	yes	yes	yes	no	yes	yes
SB-EXT	DELETE-DIRECTORY	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	PROCESS-STATUS	yes	no	no	no	no	no	no	no	yes	no	no	yes
SB-EXT	ADD-IMPLEMENTATION-PACKAGE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	PURIFY	no	no	no	no	no	no	no	no	no	no	no	no
SB-EXT	*EXIT-TIMEOUT*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-EXT	*DEBUG-PRINT-VARIABLE-ALIST*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-EXT	DOUBLE-FLOAT-POSITIVE-INFINITY	no	no	no	no	yes	no	no	no	no	yes	no	no
SB-EXT	SET-MACRO-POLICY	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	*INIT-HOOKS*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-EXT	SUPERSEDE	no	no	no	no	no	no	no	no	no	no	no	no
SB-EXT	PROCESS-EXIT-CODE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	PRINT-UNREADABLY	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	NATIVE-PATHNAME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	WEAK-POINTER	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-EXT	WITH-CURRENT-SOURCE-FORM	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-EXT	RENAME	no	no	no	no	no	no	no	no	no	no	no	no
SB-EXT	NAME-CONFLICT-DATUM	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	GC-LOGFILE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	*SYSINIT-PATHNAME-FUNCTION*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-EXT	*DEFAULT-EXTERNAL-FORMAT*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-EXT	PRIMITIVE-OBJECT-SIZE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	STEP-FORM-CONDITION	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-EXT	DEFINE-HASH-TABLE-TEST	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-EXT	PROCESS-WAIT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	SEARCH-ROOTS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	LOCK-PACKAGE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	PROCESS-CLOSE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	ATOMIC-PUSH	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-EXT	DEFINE-SOURCE-CONTEXT	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-EXT	TIMER-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	PROCESS-OUTPUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	DEPRECATION-CONDITION-SOFTWARE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	GENERATION-BYTES-CONSED-BETWEEN-GCS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	GET-CAS-EXPANSION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	EVAL-TLF	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-EXT	*ENCLOSING-SOURCE-CUTOFF*	no	no	no	yes	no	no	no	no	no	yes	no	no
