package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-GRAY	STREAM-FILE-POSITION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-FORCE-OUTPUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-UNREAD-CHAR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-WRITE-CHAR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-ADVANCE-TO-COLUMN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-FINISH-OUTPUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-READ-CHAR-NO-HANG	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	FUNDAMENTAL-CHARACTER-OUTPUT-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-GRAY	FUNDAMENTAL-OUTPUT-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-GRAY	STREAM-WRITE-SEQUENCE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	FUNDAMENTAL-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-GRAY	STREAM-CLEAR-OUTPUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	FUNDAMENTAL-BINARY-INPUT-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-GRAY	FUNDAMENTAL-INPUT-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-GRAY	FUNDAMENTAL-CHARACTER-INPUT-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-GRAY	STREAM-READ-LINE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-TERPRI	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	FUNDAMENTAL-CHARACTER-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-GRAY	STREAM-LISTEN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	FUNDAMENTAL-BINARY-OUTPUT-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-GRAY	STREAM-READ-BYTE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-START-LINE-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	FUNDAMENTAL-BINARY-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-GRAY	STREAM-WRITE-BYTE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-READ-CHAR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-READ-SEQUENCE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-CLEAR-INPUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-PEEK-CHAR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-WRITE-STRING	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-FRESH-LINE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-LINE-COLUMN	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-GRAY	STREAM-LINE-LENGTH	yes	no	no	no	no	no	no	no	yes	no	no	no
