package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-MOP	ENSURE-GENERIC-FUNCTION-USING-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	ADD-DEPENDENT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	COMPUTE-EFFECTIVE-SLOT-DEFINITION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	METHOD-SPECIALIZERS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	SLOT-DEFINITION-WRITERS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	CLASS-FINALIZED-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	ADD-DIRECT-SUBCLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	EQL-SPECIALIZER	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	SLOT-DEFINITION	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	STANDARD-METHOD	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	VALIDATE-SUPERCLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	REMOVE-DIRECT-METHOD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	CLASS	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	STANDARD-INSTANCE-ACCESS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	FUNCTION	no	no	yes	no	no	no	yes	no	yes	no	yes	yes
SB-MOP	COMPUTE-CLASS-PRECEDENCE-LIST	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	MAP-DEPENDENTS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	STANDARD-ACCESSOR-METHOD	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	UPDATE-DEPENDENT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	SLOT-DEFINITION-INITFUNCTION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	REMOVE-DEPENDENT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	FORWARD-REFERENCED-CLASS	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	CLASS-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	COMPUTE-APPLICABLE-METHODS-USING-CLASSES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	BUILT-IN-CLASS	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	GENERIC-FUNCTION-LAMBDA-LIST	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	FINALIZE-INHERITANCE	yes	no	no	no	no	no	no	no	yes	no	no	no
