package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-SYS	IO-TIMEOUT	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-SYS	ADD-FD-HANDLER	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*ALLOW-WITH-INTERRUPTS*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	INVOKE-INTERRUPTION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	FOREIGN-SYMBOL-ADDRESS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	INT-SAP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	DEADLINE-TIMEOUT	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-SYS	ENABLE-INTERRUPT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	READ-N-BYTES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP+	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SERVE-EVENT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	WITH-INTERRUPT-BINDINGS	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP-	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*EXIT-ERROR-HANDLER*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	SERVE-ALL-EVENTS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SYSTEM-CONDITION-CONTEXT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	INVALIDATE-DESCRIPTOR	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	OS-EXIT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	CLOSE-SHARED-OBJECTS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	WITHOUT-INTERRUPTS	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*SHORT-SITE-NAME*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	*TTY*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	WITHOUT-GCING	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP>	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*MACHINE-VERSION*	no	no	no	no	no	no	no	no	no	no	no	no
SB-SYS	SYSTEM-CONDITION-ADDRESS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	DEFER-DEADLINE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SIGNAL-DEADLINE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*LONG-SITE-NAME*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	ALLOCATE-SYSTEM-MEMORY	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	OS-CONTEXT-T	no	no	no	no	no	no	no	no	no	no	no	no
SB-SYS	SAP-REF-LONG	no	no	no	no	no	no	no	no	no	no	no	no
SB-SYS	SAP-REF-SAP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	BEEP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	MACRO	no	no	no	no	no	no	no	no	no	no	no	no
SB-SYS	SCRUB-CONTROL-STACK	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP-REF-64	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	WITH-FD-HANDLER	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	ALLOW-WITH-INTERRUPTS	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	REMOVE-FD-HANDLER	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	EXIT-CODE	no	no	no	no	no	no	no	no	no	no	no	yes
SB-SYS	SAP-REF-DOUBLE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*LINKAGE-INFO*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	%STANDARD-CHAR-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	IN-INTERRUPTION	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*STDIN*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	FD-STREAM-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SIGNED-SAP-REF-8	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SIGNED-SAP-REF-WORD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	FD-STREAM	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-SYS	ELAPSED-CYCLES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	READ-CYCLE-COUNTER	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	EXTERN-ALIEN-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	FIND-FOREIGN-SYMBOL-ADDRESS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	UPDATE-ALIEN-LINKAGE-TABLE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*STDERR*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	SAP-REF-SINGLE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SIGNED-SAP-REF-32	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*PERIODIC-POLLING-FUNCTION*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	SIGNED-SAP-REF-64	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	FOREIGN-SYMBOL-DATAREF-SAP	no	no	no	no	no	no	no	no	no	no	no	no
SB-SYS	SYSTEM-AREA-POINTER	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-SYS	DEALLOCATE-SYSTEM-MEMORY	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP-REF-32	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	MEMMOVE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	FOREIGN-SYMBOL-SAP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*RUNTIME-DLHANDLE*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	*INTERRUPTS-ENABLED*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	DECODE-TIMEOUT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*STDOUT*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	WITH-PINNED-OBJECTS	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*INTERRUPT-PENDING*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	VECTOR-SAP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	NLX-PROTECT	no	no	yes	no	no	no	no	no	yes	no	no	no
SB-SYS	GET-SYSTEM-INFO	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP-INT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	CANCEL-DEADLINE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	OS-DEINIT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP-REF-8	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP=	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	BREAKPOINT-ERROR	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-SYS	DECODE-INTERNAL-TIME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	INTERACTIVE-INTERRUPT	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-SYS	WITH-INTERRUPTS	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	%PRIMITIVE	no	no	yes	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP<=	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	DLOPEN-OR-LOSE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	WITH-LOCAL-INTERRUPTS	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	WITH-CODE-PAGES-PINNED	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	WAIT-UNTIL-FD-USABLE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	OS-COLD-INIT-OR-REINIT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP>=	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	REOPEN-SHARED-OBJECTS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*PERIODIC-POLLING-PERIOD*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	GET-MACHINE-VERSION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*SHARED-OBJECTS*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	SYSTEM-CONDITION	no	no	no	no	no	no	yes	yes	no	no	yes	yes
SB-SYS	SAP-FOREIGN-SYMBOL	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP-REF-LISPOBJ	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	FIND-DYNAMIC-FOREIGN-SYMBOL-ADDRESS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SIGNED-SAP-REF-16	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP<	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	WITH-DEADLINE	no	yes	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SAP-REF-WORD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SYSTEM-INTERNAL-RUN-TIME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	*EXIT-IN-PROGRESS*	no	no	no	yes	no	no	no	no	no	yes	no	no
SB-SYS	SAP-REF-16	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	MAKE-FD-STREAM	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	SYSTEM-AREA-POINTER-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	FD-STREAM-FD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-SYS	MEMORY-FAULT-ERROR	yes	no	no	no	no	no	yes	yes	yes	no	yes	yes
