package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-UNICODE	IDEOGRAPHIC-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	LOWERCASE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	NORMALIZE-STRING	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	PROPLIST-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	LINES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	UPPERCASE-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	UNICODE=	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	CASEFOLD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	DEFAULT-IGNORABLE-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	CASED-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	MATH-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	DIGIT-VALUE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	UNICODE>=	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	UNICODE<	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	UNICODE-EQUAL	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	TITLECASE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	UNICODE>	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	SOFT-DOTTED-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	UNICODE<=	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	LINE-BREAK-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	GRAPHEMES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	GRAPHEME-BREAK-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	UNICODE-1-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	BIDI-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	DECIMAL-VALUE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	UPPERCASE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	LOWERCASE-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	WORD-BREAK-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	NUMERIC-VALUE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	GENERAL-CATEGORY	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	WHITESPACE-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	HEX-DIGIT-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	CONFUSABLE-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	COMBINING-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	EAST-ASIAN-WIDTH	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	SENTENCES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	AGE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	HANGUL-SYLLABLE-TYPE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	WORDS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	BIDI-MIRRORING-GLYPH	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	SCRIPT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	NORMALIZED-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	ALPHABETIC-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	SENTENCE-BREAK-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	MIRRORED-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	CASE-IGNORABLE-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-UNICODE	CHAR-BLOCK	yes	no	no	no	no	no	no	no	yes	no	no	no
