package	symbol	kind	crate	phase	direct-expansion	notes
COMMON-LISP	ADD-METHOD	other	ncl-clos	1	no	reclassified by subsystem ownership rule
COMMON-LISP	ALLOCATE-INSTANCE	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	BUILT-IN-CLASS	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	CALL-NEXT-METHOD	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	CHANGE-CLASS	other	ncl-clos	1	no	reclassified by subsystem ownership rule
COMMON-LISP	CLASS	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	CLASS-NAME	function	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	CLASS-OF	function	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	COMPUTE-APPLICABLE-METHODS	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	COPY-STRUCTURE	other	ncl-clos	1	no	reclassified by subsystem ownership rule
COMMON-LISP	DESCRIBE	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	DESCRIBE-OBJECT	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	DOCUMENTATION	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	ENSURE-GENERIC-FUNCTION	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	FIND-CLASS	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	FIND-METHOD	other	ncl-clos	1	no	reclassified by subsystem ownership rule
COMMON-LISP	GENERIC-FUNCTION	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	INITIALIZE-INSTANCE	function	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	MAKE-INSTANCE	function	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	MAKE-INSTANCES-OBSOLETE	other	ncl-clos	1	no	reclassified by subsystem ownership rule
COMMON-LISP	MAKE-METHOD	other	ncl-clos	1	no	reclassified by subsystem ownership rule
COMMON-LISP	METHOD	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	METHOD-COMBINATION	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	METHOD-QUALIFIERS	other	ncl-clos	1	no	reclassified by subsystem ownership rule
COMMON-LISP	NEXT-METHOD-P	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	NO-APPLICABLE-METHOD	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	NO-NEXT-METHOD	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	REINITIALIZE-INSTANCE	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	REMOVE-METHOD	other	ncl-clos	1	no	reclassified by subsystem ownership rule
COMMON-LISP	SHARED-INITIALIZE	function	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	SLOT-BOUNDP	function	ncl-clos	1	yes	CLOS/class/slot surface
COMMON-LISP	SLOT-EXISTS-P	function	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	SLOT-MAKUNBOUND	function	ncl-clos	1	yes	CLOS/class/slot surface
COMMON-LISP	SLOT-MISSING	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	SLOT-UNBOUND	other	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	SLOT-VALUE	function	ncl-clos	1	yes	CLOS/class/slot surface
COMMON-LISP	STANDARD-CLASS	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	STANDARD-GENERIC-FUNCTION	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	STANDARD-METHOD	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	STANDARD-OBJECT	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	STRUCTURE	other	ncl-clos	1	no	reclassified by subsystem ownership rule
COMMON-LISP	STRUCTURE-CLASS	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	STRUCTURE-OBJECT	class	ncl-clos	1	no	CLOS/class/slot surface
COMMON-LISP	UPDATE-INSTANCE-FOR-DIFFERENT-CLASS	other	ncl-clos	1	no	reclassified by subsystem ownership rule
COMMON-LISP	UPDATE-INSTANCE-FOR-REDEFINED-CLASS	other	ncl-clos	1	no	reclassified by subsystem ownership rule
NCL-MOP	ACCESSOR-METHOD-SLOT-DEFINITION	other	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	ADD-DEPENDENT	other	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	ADD-DIRECT-METHOD	other	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	ADD-DIRECT-SUBCLASS	other	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	ADD-METHOD	other	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	ALLOCATE-INSTANCE	other	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	BUILT-IN-CLASS	class	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	CLASS	class	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	CLASS-DEFAULT-INITARGS	other	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	CLASS-DIRECT-DEFAULT-INITARGS	other	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	CLASS-DIRECT-SLOTS	function	ncl-clos	1	no	NCL-MOP AMOP surface
NCL-MOP	CLASS-DIRECT-SUBCLASSES	other	ncl-clos	1	no	NCL-MOP AMOP surface
