package	symbol	kind	crate	phase	direct-expansion	notes
NCL-FFI	POSIX-ENVIRON	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POSIX-GETENV	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	RUN-PROGRAM	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	*	variable+function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	ADDR	macro	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FOREIGN	other	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	CALLBACK-TYPE	other	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	CALLBACK-FUNCTION	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	CALL-FOREIGN	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FOREIGN-POINTER	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FOREIGN-TYPE-SIZE	macro	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	ARRAY	class	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	BOOLEAN	type	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	C-STRING	other	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	CAST	macro+class	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	CHAR	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	DEFINE-CALLBACK-TYPE	macro	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	DEFINE-FOREIGN-ROUTINE	macro	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	DEFINE-FOREIGN-TYPE	macro	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	DEFINE-FOREIGN-VARIABLE	macro	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	DEREF	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	DOUBLE	other	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	DOUBLE-FLOAT	class	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	ENUM	other	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	EXTERN-FOREIGN	macro	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FLOAT	class+function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FREE-FOREIGN	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FUNCTION	special-operator+class	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	GET-ERRNO	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	INT	other	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	INTEGER	class	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	LOAD-FOREIGN-ONCE	function	ncl-ffi	1	no	NCL-FFI foreign interface
