package	symbol	kind	crate	phase	direct-expansion	notes
COMMON-LISP	*MACROEXPAND-HOOK*	variable	ncl-lib-macros	1	no	reclassified by subsystem ownership rule
COMMON-LISP	AND	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	APPLY	function	ncl-lib-macros	1	no	reclassified by subsystem ownership rule
COMMON-LISP	ASSERT	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	CALL-METHOD	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	CASE	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	CCASE	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	CHECK-TYPE	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	COMPILED-FUNCTION-P	function	ncl-lib-macros	1	no	reclassified by subsystem ownership rule
COMMON-LISP	COMPILER-MACRO-FUNCTION	function	ncl-lib-macros	1	no	reclassified by subsystem ownership rule
COMMON-LISP	COMPLEMENT	function	ncl-lib-macros	1	no	reclassified by subsystem ownership rule
COMMON-LISP	COND	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	CONSTANTLY	function	ncl-lib-macros	1	no	reclassified by subsystem ownership rule
COMMON-LISP	CONSTANTP	function	ncl-lib-macros	1	no	reclassified by subsystem ownership rule
COMMON-LISP	CTYPECASE	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DECF	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DEFCONSTANT	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DEFINE-COMPILER-MACRO	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DEFINE-MODIFY-MACRO	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DEFINE-SETF-EXPANDER	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DEFINE-SYMBOL-MACRO	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DEFMACRO	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DEFPACKAGE	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DEFPARAMETER	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DEFSETF	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DEFVAR	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DESTRUCTURING-BIND	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DO	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DO*	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DO-ALL-SYMBOLS	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DO-EXTERNAL-SYMBOLS	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DO-SYMBOLS	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DOLIST	macro	ncl-lib-macros	1	no	macro expansion/setf surface
COMMON-LISP	DOTIMES	macro	ncl-lib-macros	1	no	macro expansion/setf surface
