package	symbol	kind	crate	phase	direct-expansion	notes
COMMON-LISP	*	variable+function	ncl-lib-numbers	1	yes	numeric tower or numeric type
COMMON-LISP	*RANDOM-STATE*	variable	ncl-lib-numbers	1	no	reclassified by subsystem ownership rule
COMMON-LISP	+	variable+function	ncl-lib-numbers	1	yes	numeric tower or numeric type
COMMON-LISP	-	variable+function	ncl-lib-numbers	1	yes	numeric tower or numeric type
COMMON-LISP	/	variable+function	ncl-lib-numbers	1	yes	numeric tower or numeric type
COMMON-LISP	/=	function	ncl-lib-numbers	1	yes	reclassified by subsystem ownership rule
COMMON-LISP	1+	function	ncl-lib-numbers	1	yes	numeric tower or numeric type
COMMON-LISP	1-	function	ncl-lib-numbers	1	yes	numeric tower or numeric type
COMMON-LISP	<	function	ncl-lib-numbers	1	yes	reclassified by subsystem ownership rule
COMMON-LISP	<=	function	ncl-lib-numbers	1	yes	reclassified by subsystem ownership rule
COMMON-LISP	=	function	ncl-lib-numbers	1	yes	reclassified by subsystem ownership rule
COMMON-LISP	>	function	ncl-lib-numbers	1	yes	reclassified by subsystem ownership rule
COMMON-LISP	>=	function	ncl-lib-numbers	1	yes	reclassified by subsystem ownership rule
COMMON-LISP	ABS	function	ncl-lib-numbers	1	no	numeric tower or numeric type
COMMON-LISP	ACOS	function	ncl-lib-numbers	1	no	numeric tower or numeric type
COMMON-LISP	ACOSH	function	ncl-lib-numbers	1	no	numeric tower or numeric type
COMMON-LISP	ASH	function	ncl-lib-numbers	1	yes	reclassified by subsystem ownership rule
COMMON-LISP	ASIN	function	ncl-lib-numbers	1	no	numeric tower or numeric type
COMMON-LISP	ASINH	function	ncl-lib-numbers	1	no	numeric tower or numeric type
COMMON-LISP	ATAN	function	ncl-lib-numbers	1	no	numeric tower or numeric type
COMMON-LISP	ATANH	function	ncl-lib-numbers	1	no	numeric tower or numeric type
COMMON-LISP	BOOLE	function	ncl-lib-numbers	1	no	numeric tower or numeric type
