package	symbol	kind	crate	phase	direct-expansion	notes
COMMON-LISP	*COMPILE-FILE-PATHNAME*	variable	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	*DEFAULT-PATHNAME-DEFAULTS*	variable	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	*LOAD-PATHNAME*	variable	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	COMPILE-FILE-PATHNAME	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	DELETE-FILE	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	DIRECTORY	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	DIRECTORY-NAMESTRING	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	ENOUGH-NAMESTRING	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	ENSURE-DIRECTORIES-EXIST	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	FILE-AUTHOR	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	FILE-ERROR-PATHNAME	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	FILE-LENGTH	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	FILE-NAMESTRING	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	FILE-WRITE-DATE	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	HOST-NAMESTRING	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	LOAD-LOGICAL-PATHNAME-TRANSLATIONS	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	LOGICAL-PATHNAME	class+function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	LOGICAL-PATHNAME-TRANSLATIONS	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	MAKE-PATHNAME	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	MERGE-PATHNAMES	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	NAMESTRING	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PARSE-NAMESTRING	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PATHNAME	class+function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PATHNAME-DEVICE	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PATHNAME-DIRECTORY	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PATHNAME-HOST	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PATHNAME-MATCH-P	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PATHNAME-NAME	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PATHNAME-TYPE	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PATHNAME-VERSION	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PATHNAMEP	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	PROBE-FILE	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	RENAME-FILE	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	TRANSLATE-LOGICAL-PATHNAME	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	TRANSLATE-PATHNAME	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	TRUENAME	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	USER-HOMEDIR-PATHNAME	function	ncl-lib-pathnames	1	no	pathname/file operation
COMMON-LISP	WILD-PATHNAME-P	function	ncl-lib-pathnames	1	no	pathname/file operation
