package	symbol	kind	crate	phase	direct-expansion	notes
COMMON-LISP	**	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	***	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	*COMPILE-FILE-TRUENAME*	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	*COMPILE-PRINT*	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	*COMPILE-VERBOSE*	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	*FEATURES*	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	*LOAD-PRINT*	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	*LOAD-TRUENAME*	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	*LOAD-VERBOSE*	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	*MODULES*	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	++	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	+++	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	//	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	///	variable	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	APROPOS	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	APROPOS-LIST	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	COMPILE	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	COMPILE-FILE	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	DECODE-UNIVERSAL-TIME	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	DRIBBLE	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	ED	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	ENCODE-UNIVERSAL-TIME	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	EVAL	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	GET-DECODED-TIME	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	GET-INTERNAL-REAL-TIME	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	GET-INTERNAL-RUN-TIME	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	GET-UNIVERSAL-TIME	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	INSPECT	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	INTERNAL-TIME-UNITS-PER-SECOND	constant	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	LISP-IMPLEMENTATION-TYPE	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	LISP-IMPLEMENTATION-VERSION	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	LOAD	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	LONG-SITE-NAME	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	MACHINE-INSTANCE	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	MACHINE-TYPE	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	MACHINE-VERSION	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	PROVIDE	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	REQUIRE	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	ROOM	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	SHORT-SITE-NAME	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	SLEEP	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	SOFTWARE-TYPE	function	ncl-runtime	2	no	Phase 2 runtime integration
COMMON-LISP	SOFTWARE-VERSION	function	ncl-runtime	2	no	Phase 2 runtime integration
