package	symbol	kind	crate	phase	direct-expansion	notes
UIOP/DRIVER	*BASE-BUILD-DIRECTORY*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*CLEAR-CONFIGURATION-HOOK*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*COMMAND-LINE-ARGUMENTS*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*COMPILE-CHECK*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*COMPILE-FILE-FAILURE-BEHAVIOUR*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*COMPILE-FILE-WARNINGS-BEHAVIOUR*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*DEFAULT-ENCODING*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*DEFAULT-STREAM-ELEMENT-TYPE*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*ENCODING-DETECTION-HOOK*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*ENCODING-EXTERNAL-FORMAT-HOOK*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*HERE-DIRECTORY*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*IGNORED-CONFIGURATION-FORM*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*IMAGE-DUMP-HOOK*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*IMAGE-DUMPED-P*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*IMAGE-ENTRY-POINT*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*IMAGE-POSTLUDE*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*IMAGE-PRELUDE*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*IMAGE-RESTORE-HOOK*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*IMPLEMENTATION-TYPE*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*LISP-INTERACTION*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*NIL-PATHNAME*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*OPTIMIZATION-SETTINGS*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*OUTPUT-TRANSLATION-FUNCTION*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*PREVIOUS-OPTIMIZATION-SETTINGS*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*RESOLVE-SYMLINKS*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*STDERR*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*STDIN*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*STDOUT*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*TEMPORARY-DIRECTORY*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*UIOP-DEBUG-UTILITY*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*UIOP-VERSION*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*UNINTERESTING-COMPILER-CONDITIONS*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*UNINTERESTING-CONDITIONS*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*UNINTERESTING-LOADER-CONDITIONS*	variable	ncl-uiop	3	no	Phase 3 contrib surface
UIOP/DRIVER	*UNSPECIFIC-PATHNAME-TYPE*	variable	ncl-uiop	3	no	Phase 3 contrib surface
